epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,46.5809,0.6152,0.78816,1.06738,0.84787,0.4,0.43248,0.2978,1.79734,2.49236,1.46657,1.68333e-05,1.68333e-05,1.68333e-05
86,47.1532,0.79516,0.81886,1.34243,0.84787,0.4,0.43248,0.2978,1.79734,2.49236,1.46657,1.60323e-05,1.60323e-05,1.60323e-05
87,47.7887,0.79636,0.98574,1.22581,0.84787,0.4,0.43248,0.2978,1.79734,2.49236,1.46657,1.52077e-05,1.52077e-05,1.52077e-05
88,48.3709,0.5887,0.68044,1.0639,0.81125,0.4,0.43221,0.2981,1.80265,2.48456,1.46226,1.43596e-05,1.43596e-05,1.43596e-05
89,48.9231,0.7733,0.78884,1.17668,0.81125,0.4,0.43221,0.2981,1.80265,2.48456,1.46226,1.34879e-05,1.34879e-05,1.34879e-05
90,49.5045,0.57972,0.81644,0.99955,0.81125,0.4,0.43221,0.2981,1.80265,2.48456,1.46226,1.25927e-05,1.25927e-05,1.25927e-05
91,50.0686,0.49581,0.50086,1.05321,0.81125,0.4,0.43221,0.2981,1.80265,2.48456,1.46226,1.16739e-05,1.16739e-05,1.16739e-05
92,50.7498,0.42776,0.52816,0.90322,0.82557,0.4,0.42827,0.29602,1.81623,2.54166,1.47916,1.07315e-05,1.07315e-05,1.07315e-05
93,51.3471,0.63877,0.69452,1.23062,0.82557,0.4,0.42827,0.29602,1.81623,2.54166,1.47916,9.76562e-06,9.76562e-06,9.76562e-06
94,51.9348,0.58536,0.57276,1.05703,0.82557,0.4,0.42827,0.29602,1.81623,2.54166,1.47916,8.77613e-06,8.77613e-06,8.77613e-06
95,52.4766,0.7838,0.68083,1.33349,0.82557,0.4,0.42827,0.29602,1.81623,2.54166,1.47916,7.76308e-06,7.76308e-06,7.76308e-06
96,52.9965,0.54562,0.53952,1.04419,0.82566,0.4,0.42928,0.29632,1.80446,2.56337,1.47553,6.72648e-06,6.72648e-06,6.72648e-06
97,53.6281,0.42931,0.44434,0.94801,0.82566,0.4,0.42928,0.29632,1.80446,2.56337,1.47553,5.6663e-06,5.6663e-06,5.6663e-06
98,54.1942,0.61943,0.54799,1.10196,0.82566,0.4,0.42928,0.29632,1.80446,2.56337,1.47553,4.58257e-06,4.58257e-06,4.58257e-06
99,54.727,0.49705,0.51538,0.91906,0.82566,0.4,0.42928,0.29632,1.80446,2.56337,1.47553,3.47528e-06,3.47528e-06,3.47528e-06
100,55.2757,0.41602,0.51556,0.93285,0.83562,0.4,0.42361,0.29775,1.78756,2.55147,1.4675,2.34442e-06,2.34442e-06,2.34442e-06
