ts_iso,t_epoch,power_w,hardware,model_name,phase
2026-01-15T14:14:46.048223,1768482886.048,125.000,GPU_ORT_CUDA_BASIC,yolo11s_320_fp16,run
2026-01-15T14:14:48.018962,1768482888.019,109.000,GPU_ORT_CUDA_BASIC,yolo11s_320_fp16,run
2026-01-15T14:14:49.983178,1768482889.983,109.000,GPU_ORT_CUDA_DISABLE,yolo11s_320_fp16,run
2026-01-15T14:14:51.912831,1768482891.913,119.000,GPU_ORT_CUDA_DISABLE,yolo11s_320_fp16,run
2026-01-15T14:14:53.871088,1768482893.871,106.000,GPU_ORT_CUDA_DISABLE,yolo11s_320_fp16,run
2026-01-15T14:14:55.504628,1768482895.505,105.000,GPU_ORT_CUDA_ALL,yolo11s_256_fp32,run
2026-01-15T14:14:56.500183,1768482896.500,105.000,GPU_ORT_CUDA_ALL,yolo11s_256_fp32,run
2026-01-15T14:14:57.562966,1768482897.563,143.000,GPU_ORT_CUDA_ALL,yolo11s_256_fp32,run
2026-01-15T14:14:58.627498,1768482898.627,143.000,GPU_ORT_CUDA_BASIC,yolo11s_256_fp32,run
2026-01-15T14:14:59.687736,1768482899.688,143.000,GPU_ORT_CUDA_BASIC,yolo11s_256_fp32,run
2026-01-15T14:15:00.754185,1768482900.754,141.000,GPU_ORT_CUDA_BASIC,yolo11s_256_fp32,run
2026-01-15T14:15:01.815468,1768482901.815,144.000,GPU_ORT_CUDA_DISABLE,yolo11s_256_fp32,run
2026-01-15T14:15:02.876212,1768482902.876,142.000,GPU_ORT_CUDA_DISABLE,yolo11s_256_fp32,run
2026-01-15T14:15:03.973380,1768482903.973,142.000,GPU_ORT_CUDA_DISABLE,yolo11s_256_fp32,run
2026-01-15T14:15:05.942271,1768482905.942,98.000,GPU_ORT_CUDA_ALL,yolo11s_256_fp16,run
2026-01-15T14:15:07.899349,1768482907.899,93.000,GPU_ORT_CUDA_ALL,yolo11s_256_fp16,run
2026-01-15T14:15:09.864900,1768482909.865,116.000,GPU_ORT_CUDA_ALL,yolo11s_256_fp16,run
2026-01-15T14:15:11.832496,1768482911.832,119.000,GPU_ORT_CUDA_BASIC,yolo11s_256_fp16,run
2026-01-15T14:15:13.839741,1768482913.840,87.000,GPU_ORT_CUDA_BASIC,yolo11s_256_fp16,run
2026-01-15T14:15:15.804284,1768482915.804,111.000,GPU_ORT_CUDA_BASIC,yolo11s_256_fp16,run
2026-01-15T14:15:17.745927,1768482917.746,126.000,GPU_ORT_CUDA_DISABLE,yolo11s_256_fp16,run
2026-01-15T14:15:19.656051,1768482919.656,87.000,GPU_ORT_CUDA_DISABLE,yolo11s_256_fp16,run
2026-01-15T14:15:21.604569,1768482921.605,110.000,GPU_ORT_CUDA_DISABLE,yolo11s_256_fp16,run
2026-01-15T14:15:22.885154,1768482922.885,126.000,GPU_ORT_CUDA_ALL,yolo11n_640_fp32,run
2026-01-15T14:15:24.695518,1768482924.696,123.000,GPU_ORT_CUDA_ALL,yolo11n_640_fp32,run
2026-01-15T14:15:26.495395,1768482926.495,105.000,GPU_ORT_CUDA_ALL,yolo11n_640_fp32,run
2026-01-15T14:15:28.296314,1768482928.296,102.000,GPU_ORT_CUDA_BASIC,yolo11n_640_fp32,run
2026-01-15T14:15:30.090353,1768482930.090,136.000,GPU_ORT_CUDA_BASIC,yolo11n_640_fp32,run
2026-01-15T14:15:31.911500,1768482931.911,147.000,GPU_ORT_CUDA_BASIC,yolo11n_640_fp32,run
2026-01-15T14:15:33.711437,1768482933.711,121.000,GPU_ORT_CUDA_DISABLE,yolo11n_640_fp32,run
2026-01-15T14:15:35.510374,1768482935.510,111.000,GPU_ORT_CUDA_DISABLE,yolo11n_640_fp32,run
2026-01-15T14:15:37.311713,1768482937.312,96.000,GPU_ORT_CUDA_DISABLE,yolo11n_640_fp32,run
2026-01-15T14:15:39.801975,1768482939.802,137.000,GPU_ORT_CUDA_ALL,yolo11n_640_fp16,run
2026-01-15T14:15:42.288259,1768482942.288,110.000,GPU_ORT_CUDA_ALL,yolo11n_640_fp16,run
2026-01-15T14:15:44.780254,1768482944.780,104.000,GPU_ORT_CUDA_ALL,yolo11n_640_fp16,run
2026-01-15T14:15:47.268255,1768482947.268,117.000,GPU_ORT_CUDA_BASIC,yolo11n_640_fp16,run
2026-01-15T14:15:49.727519,1768482949.728,109.000,GPU_ORT_CUDA_BASIC,yolo11n_640_fp16,run
2026-01-15T14:15:52.201864,1768482952.202,107.000,GPU_ORT_CUDA_BASIC,yolo11n_640_fp16,run
2026-01-15T14:15:54.688752,1768482954.689,110.000,GPU_ORT_CUDA_DISABLE,yolo11n_640_fp16,run
2026-01-15T14:15:57.703712,1768482957.704,111.000,GPU_ORT_CUDA_DISABLE,yolo11n_640_fp16,run
2026-01-15T14:16:00.177921,1768482960.178,111.000,GPU_ORT_CUDA_DISABLE,yolo11n_640_fp16,run
2026-01-15T14:16:02.408701,1768482962.409,106.000,GPU_ORT_CUDA_ALL,yolo11n_512_fp32,run
2026-01-15T14:16:04.105758,1768482964.106,123.000,GPU_ORT_CUDA_ALL,yolo11n_512_fp32,run
2026-01-15T14:16:05.814422,1768482965.814,117.000,GPU_ORT_CUDA_ALL,yolo11n_512_fp32,run
2026-01-15T14:16:07.511571,1768482967.512,104.000,GPU_ORT_CUDA_BASIC,yolo11n_512_fp32,run
2026-01-15T14:16:09.200884,1768482969.201,123.000,GPU_ORT_CUDA_BASIC,yolo11n_512_fp32,run
2026-01-15T14:16:10.900596,1768482970.901,140.000,GPU_ORT_CUDA_BASIC,yolo11n_512_fp32,run
2026-01-15T14:16:12.594976,1768482972.595,135.000,GPU_ORT_CUDA_DISABLE,yolo11n_512_fp32,run
2026-01-15T14:16:14.285579,1768482974.286,130.000,GPU_ORT_CUDA_DISABLE,yolo11n_512_fp32,run
2026-01-15T14:16:15.984785,1768482975.985,124.000,GPU_ORT_CUDA_DISABLE,yolo11n_512_fp32,run
2026-01-15T14:16:17.943610,1768482977.944,119.000,GPU_ORT_CUDA_ALL,yolo11n_512_fp16,run
2026-01-15T14:16:20.440469,1768482980.440,111.000,GPU_ORT_CUDA_ALL,yolo11n_512_fp16,run
2026-01-15T14:16:22.965563,1768482982.966,102.000,GPU_ORT_CUDA_ALL,yolo11n_512_fp16,run
2026-01-15T14:16:25.474632,1768482985.475,114.000,GPU_ORT_CUDA_BASIC,yolo11n_512_fp16,run
2026-01-15T14:16:27.928371,1768482987.928,116.000,GPU_ORT_CUDA_BASIC,yolo11n_512_fp16,run
2026-01-15T14:16:30.410285,1768482990.410,93.000,GPU_ORT_CUDA_BASIC,yolo11n_512_fp16,run
2026-01-15T14:16:32.922592,1768482992.923,101.000,GPU_ORT_CUDA_DISABLE,yolo11n_512_fp16,run
2026-01-15T14:16:35.417221,1768482995.417,112.000,GPU_ORT_CUDA_DISABLE,yolo11n_512_fp16,run
2026-01-15T14:16:37.928266,1768482997.928,108.000,GPU_ORT_CUDA_DISABLE,yolo11n_512_fp16,run
2026-01-15T14:16:40.177135,1768483000.177,121.000,GPU_ORT_CUDA_ALL,yolo11n_416_fp32,run
2026-01-15T14:16:41.843572,1768483001.844,107.000,GPU_ORT_CUDA_ALL,yolo11n_416_fp32,run
2026-01-15T14:16:43.567476,1768483003.567,115.000,GPU_ORT_CUDA_ALL,yolo11n_416_fp32,run
2026-01-15T14:16:45.225990,1768483005.226,115.000,GPU_ORT_CUDA_BASIC,yolo11n_416_fp32,run
2026-01-15T14:16:46.906703,1768483006.907,133.000,GPU_ORT_CUDA_BASIC,yolo11n_416_fp32,run
2026-01-15T14:16:48.632851,1768483008.633,136.000,GPU_ORT_CUDA_BASIC,yolo11n_416_fp32,run
2026-01-15T14:16:50.344086,1768483010.344,129.000,GPU_ORT_CUDA_DISABLE,yolo11n_416_fp32,run
2026-01-15T14:16:52.077679,1768483012.078,122.000,GPU_ORT_CUDA_DISABLE,yolo11n_416_fp32,run
2026-01-15T14:16:53.792142,1768483013.792,124.000,GPU_ORT_CUDA_DISABLE,yolo11n_416_fp32,run
2026-01-15T14:16:56.144123,1768483016.144,108.000,GPU_ORT_CUDA_ALL,yolo11n_416_fp16,run
2026-01-15T14:16:58.545389,1768483018.545,124.000,GPU_ORT_CUDA_ALL,yolo11n_416_fp16,run
2026-01-15T14:17:00.904234,1768483020.904,111.000,GPU_ORT_CUDA_ALL,yolo11n_416_fp16,run
2026-01-15T14:17:03.278724,1768483023.279,122.000,GPU_ORT_CUDA_BASIC,yolo11n_416_fp16,run
2026-01-15T14:17:05.570642,1768483025.571,105.000,GPU_ORT_CUDA_BASIC,yolo11n_416_fp16,run
2026-01-15T14:17:07.862599,1768483027.863,110.000,GPU_ORT_CUDA_BASIC,yolo11n_416_fp16,run
2026-01-15T14:17:10.173102,1768483030.173,108.000,GPU_ORT_CUDA_DISABLE,yolo11n_416_fp16,run
2026-01-15T14:17:12.471834,1768483032.472,105.000,GPU_ORT_CUDA_DISABLE,yolo11n_416_fp16,run
